Matrix Size, Iterations, Threads, Average Runtime
20,1000,Serial,4.15578e-05
20,1000,Serial,3.50306e-05
20,1000,Serial,3.72014e-05
20,1000,Serial,3.59955e-05
20,1000,Serial,5.35927e-05
20,1000,Serial,3.7329e-05
20,1000,Serial,3.51448e-05
20,1000,Serial,3.63982e-05
20,1000,Serial,3.6221e-05
20,1000,Serial,3.60343e-05
20,1000,1,4.27473e-05
20,1000,1,3.84877e-05
20,1000,1,5.61237e-05
20,1000,1,4.51307e-05
20,1000,1,4.10988e-05
20,1000,1,4.45774e-05
20,1000,1,4.29626e-05
20,1000,1,4.09932e-05
20,1000,1,3.97036e-05
20,1000,1,4.40257e-05
